date,entry_time,exit_time,ticker,action,close_action,direction,entry_price,exit_price,shares,position_value,profit_loss_pct,profit_loss_dollars,exit_reason,hold_duration_seconds,indicator_name,entry_spread_pct,atr_at_entry,momentum_at_entry
2023-01-04,2023-01-04T09:50:00,2023-01-04T10:05:00,COIN,buy_to_open,sell_to_close,long,36.4216,34.8450,54.9125,2000.00,-4.3286,-86.57,ATR stop loss: -4.48% (threshold: -4.00%),900.0,Momentum Trading,0.2285,0.0000,0.0000
2023-01-04,2023-01-04T10:56:00,2023-01-04T11:07:00,COIN,buy_to_open,sell_to_close,long,36.7531,37.3880,54.4171,2000.00,1.7274,34.55,Trailing stop triggered at $37.4468 (locking in 1.70% profit),660.0,Momentum Trading,0.1804,0.0000,0.0000
2023-01-04,2023-01-04T11:24:00,2023-01-04T12:25:00,PLTR,buy_to_open,sell_to_close,long,6.6340,6.5995,301.4772,2000.00,-0.5200,-10.40,max_hold_60min,3660.0,Momentum Trading,0.1207,0.0000,0.0000
2023-01-06,2023-01-06T10:45:00,2023-01-06T11:46:00,SNAP,buy_to_open,sell_to_close,long,9.2395,9.2290,216.4619,2000.00,-0.1136,-2.27,max_hold_60min,3660.0,Momentum Trading,0.0975,0.0000,0.0000
2023-01-06,2023-01-06T11:15:00,2023-01-06T12:16:00,COIN,buy_to_open,sell_to_close,long,33.0050,32.4388,60.5969,2000.00,-1.7153,-34.31,max_hold_60min,3660.0,Momentum Trading,0.0442,0.0000,0.0000
2023-01-09,2023-01-09T10:00:00,2023-01-09T11:01:00,PLTR,buy_to_open,sell_to_close,long,6.6487,6.5520,300.8107,2000.00,-1.4544,-29.09,max_hold_60min,3660.0,Momentum Trading,0.1114,0.0000,0.0000
2023-01-09,2023-01-09T10:23:00,2023-01-09T10:40:00,AMD,buy_to_open,sell_to_close,long,68.2195,68.6570,29.3171,2000.00,0.6413,12.83,Trailing stop triggered at $68.7530 (locking in 0.71% profit),1020.0,Momentum Trading,0.0719,0.0000,0.0000
2023-01-09,2023-01-09T10:57:00,2023-01-09T11:55:00,COIN,buy_to_open,sell_to_close,long,38.2571,38.7186,52.2779,2000.00,1.2064,24.13,Trailing stop triggered at $38.7957 (locking in 1.21% profit),3480.0,Momentum Trading,0.1939,0.0000,0.0000
2023-01-10,2023-01-10T09:34:00,2023-01-10T09:47:00,COIN,buy_to_open,sell_to_close,long,40.4170,38.7055,49.4841,2000.00,-4.2346,-84.69,ATR stop loss: -4.82% (threshold: -4.00%),780.0,Momentum Trading,0.6802,0.0000,0.0000
2023-01-11,2023-01-11T10:24:00,2023-01-11T11:25:00,SNAP,buy_to_open,sell_to_close,long,9.6944,9.6045,206.3047,2000.00,-0.9273,-18.55,max_hold_60min,3660.0,Momentum Trading,0.0619,0.0000,0.0000
2023-01-12,2023-01-12T10:04:00,2023-01-12T11:05:00,SNAP,sell_to_open,buy_to_close,short,9.4814,9.4740,210.9391,2000.00,0.0782,1.56,max_hold_60min,3660.0,Momentum Trading,0.0757,0.0000,0.0000
2023-01-12,2023-01-12T10:25:00,2023-01-12T11:26:00,COIN,buy_to_open,sell_to_close,long,44.0530,43.3209,45.3999,2000.00,-1.6619,-33.24,max_hold_60min,3660.0,Momentum Trading,0.1136,0.0000,0.0000
2023-01-12,2023-01-12T11:51:00,2023-01-12T12:18:00,SOFI,buy_to_open,sell_to_close,long,5.1930,5.2479,385.1361,2000.00,1.0578,21.16,Trailing stop triggered at $5.2539 (locking in 1.06% profit),1620.0,Momentum Trading,0.1145,0.0000,0.0000
2023-01-12,2023-01-12T12:18:00,2023-01-12T13:19:00,SOFI,buy_to_open,sell_to_close,long,5.2529,5.2690,380.7421,2000.00,0.3065,6.13,max_hold_60min,3660.0,Momentum Trading,0.0952,0.0000,0.0000
