date,entry_time,exit_time,ticker,action,close_action,direction,entry_price,exit_price,shares,position_value,profit_loss_pct,profit_loss_dollars,exit_reason,hold_duration_seconds,indicator_name,entry_spread_pct,atr_at_entry,momentum_at_entry
2023-01-03,2023-01-03T09:30:00,2023-01-03T09:33:00,EXPR,buy_to_open,sell_to_close,long,1.0281,1.0090,291.8004,300.00,-1.8568,-5.57,ATR stop loss: -2.33% (threshold: -2.00%),180.0,Penny Stocks,0.5853,0.0000,0.0000
2023-01-03,2023-01-03T09:31:00,2023-01-03T09:45:00,TELL,buy_to_open,sell_to_close,long,1.6716,1.6830,179.4656,300.00,0.6802,2.04,Trailing stop triggered at $1.6899 (locking in 0.85% profit),840.0,Penny Stocks,0.2432,0.0000,0.0000
2023-01-03,2023-01-03T09:32:00,2023-01-03T09:48:00,GRAB,buy_to_open,sell_to_close,long,3.3430,3.3170,89.7398,300.00,-0.7777,-2.33,max_hold_15min,960.0,Penny Stocks,0.1796,0.0000,0.0000
2023-01-03,2023-01-03T09:33:00,2023-01-03T09:48:00,NKLA,buy_to_open,sell_to_close,long,2.2635,2.1673,132.5381,300.00,-4.2523,-12.76,ATR stop loss: -4.42% (threshold: -3.00%),900.0,Penny Stocks,0.3097,0.0000,0.0000
2023-01-03,2023-01-03T09:34:00,2023-01-03T09:49:00,GEVO,buy_to_open,sell_to_close,long,1.9570,1.8890,153.2959,300.00,-3.4747,-10.42,ATR stop loss: -3.62% (threshold: -3.00%),900.0,Penny Stocks,0.2046,0.0000,0.0000
2023-01-03,2023-01-03T09:35:00,2023-01-03T09:40:00,CLOV,buy_to_open,sell_to_close,long,0.9691,0.9857,309.5720,300.00,1.7161,5.15,profit_target_1.8%,300.0,Penny Stocks,0.2231,0.0000,0.0000
2023-01-03,2023-01-03T09:39:00,2023-01-03T09:52:00,BIOR,buy_to_open,sell_to_close,long,3.6104,3.3828,83.0924,300.00,-6.3064,-18.92,emergency_stop_-6.0%,780.0,Penny Stocks,0.6134,0.0000,0.0000
2023-01-03,2023-01-03T10:17:00,2023-01-03T10:26:00,EXPR,buy_to_open,sell_to_close,long,0.9581,0.9738,313.1115,300.00,1.6360,4.91,profit_target_1.6%,540.0,Penny Stocks,0.2561,0.0000,0.0000
2023-01-03,2023-01-03T10:59:00,2023-01-03T11:15:00,MVST,buy_to_open,sell_to_close,long,1.5710,1.5489,190.9600,300.00,-1.4048,-4.21,max_hold_15min,960.0,Penny Stocks,0.1287,0.0000,0.0000
2023-01-03,2023-01-03T11:00:00,2023-01-03T11:16:00,TELL,buy_to_open,sell_to_close,long,1.6615,1.6355,180.5630,300.00,-1.5649,-4.69,max_hold_15min,960.0,Penny Stocks,0.1771,0.0000,0.0000
2023-01-03,2023-01-03T11:01:00,2023-01-03T11:17:00,GSAT,buy_to_open,sell_to_close,long,1.3215,1.2895,227.0148,300.00,-2.4215,-7.26,max_hold_15min,960.0,Penny Stocks,0.2273,0.0000,0.0000
2023-01-03,2023-01-03T14:46:00,2023-01-03T15:00:00,GEVO,buy_to_open,sell_to_close,long,1.7960,1.8044,167.0379,300.00,0.4677,1.40,force_close_eod,840.0,Penny Stocks,0.1114,0.0000,0.0000
2023-01-03,2023-01-03T14:46:00,2023-01-03T15:00:00,GSAT,buy_to_open,sell_to_close,long,1.2860,1.2845,233.2797,300.00,-0.1190,-0.36,force_close_eod,840.0,Penny Stocks,0.1572,0.0000,0.0000
2023-01-03,2023-01-03T14:46:00,2023-01-03T15:00:00,TELL,buy_to_open,sell_to_close,long,1.6310,1.6240,183.9362,300.00,-0.4292,-1.29,force_close_eod,840.0,Penny Stocks,0.1227,0.0000,0.0000
2023-01-04,2023-01-04T09:35:00,2023-01-04T09:40:00,TELL,buy_to_open,sell_to_close,long,1.5909,1.6184,188.5690,300.00,1.7292,5.19,profit_target_1.8%,300.0,Penny Stocks,0.1170,0.0000,0.0000
2023-01-04,2023-01-04T09:38:00,2023-01-04T09:51:00,NKLA,buy_to_open,sell_to_close,long,2.2180,2.2370,135.2552,300.00,0.8553,2.57,Trailing stop triggered at $2.2433 (locking in 0.87% profit),780.0,Penny Stocks,0.2736,0.0000,0.0000
2023-01-04,2023-01-04T09:41:00,2023-01-04T09:57:00,MVST,buy_to_open,sell_to_close,long,1.5559,1.5550,192.8157,300.00,-0.0578,-0.17,max_hold_15min,960.0,Penny Stocks,0.1145,0.0000,0.0000
2023-01-04,2023-01-04T10:01:00,2023-01-04T10:17:00,TELL,buy_to_open,sell_to_close,long,1.6660,1.6771,180.0731,300.00,0.6675,2.00,max_hold_15min,960.0,Penny Stocks,0.1189,0.0000,0.0000
2023-01-04,2023-01-04T10:15:00,2023-01-04T10:31:00,GSAT,buy_to_open,sell_to_close,long,1.3115,1.3145,228.7457,300.00,0.2287,0.69,max_hold_15min,960.0,Penny Stocks,0.2290,0.0000,0.0000
2023-01-04,2023-01-04T10:17:00,2023-01-04T10:34:00,EXPR,buy_to_open,sell_to_close,long,0.9170,0.9329,327.1609,300.00,1.7394,5.22,max_hold_15min,1020.0,Penny Stocks,0.1484,0.0000,0.0000
2023-01-04,2023-01-04T10:18:00,2023-01-04T10:34:00,NKLA,buy_to_open,sell_to_close,long,2.2260,2.2145,134.7709,300.00,-0.5166,-1.55,max_hold_15min,960.0,Penny Stocks,0.0899,0.0000,0.0000
2023-01-04,2023-01-04T10:46:00,2023-01-04T11:02:00,GSAT,buy_to_open,sell_to_close,long,1.3314,1.3239,225.3318,300.00,-0.5633,-1.69,max_hold_15min,960.0,Penny Stocks,0.2060,0.0000,0.0000
